,HOURLY_KWH,AVG_CURRENT,AVG_V_LN,power_proxy,hour,weekday,day_of_month,month,week_of_year,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,kwh_lag_1,kwh_lag_2,kwh_lag_24,kwh_lag_168,kwh_roll_3h_mean,kwh_roll_24h_mean,kwh_roll_24h_std,kwh_roll_24h_min,kwh_roll_24h_max,kwh_roll_168h_mean,kwh_roll_168h_std,kwh_ratio_to_24h_avg,kwh_ratio_to_168h_avg,HOURLY_KWH_capped
2025-12-20 14:00:00,1.643000000000029,5.384526315789474,230.78021052631576,1242.642116742382,14,5,20,12,51,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.5979999999999563,1.4359999999996944,1.4350000000013097,0.6620000000002619,1.5589999999998934,1.4321666666666413,0.11607743542322853,1.1920000000009168,1.643000000000029,1.095672619047621,0.44862134116513125,1.1472120466342453,1.4995341417713006,1.643000000000029
2025-12-20 15:00:00,1.2990000000008877,4.418478260869565,231.25734782608694,1021.8055640359169,15,5,20,12,51,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.643000000000029,1.5979999999999563,1.4650000000001455,0.647000000000844,1.5133333333336243,1.4252500000000055,0.11894618805201078,1.1920000000009168,1.643000000000029,1.0995535714285736,0.44753556388880644,0.9114184098105406,1.1813874761242535,1.2990000000008877
2025-12-20 16:00:00,0.6749999999992724,2.7296521739130433,230.6027391304348,629.4652681776937,16,5,20,12,51,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1.2990000000008877,1.643000000000029,1.5010000000002037,0.625,1.2056666666667297,1.3908333333333,0.1927058282249348,0.6749999999992724,1.643000000000029,1.0998511904761883,0.44723461190121444,0.4853202022857421,0.6137188304430495,0.6749999999992724
2025-12-20 17:00:00,0.6700000000000728,2.699782608695652,230.90334782608696,623.3888427504726,17,5,20,12,51,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.6749999999992724,1.2990000000008877,1.5,0.6440000000002328,0.8813333333334109,1.3562499999999698,0.2407503216846688,0.6700000000000728,1.643000000000029,1.1000059523809493,0.4470803956828147,0.494008852343768,0.609087059449822,0.6700000000000728
2025-12-20 18:00:00,0.6450000000004366,2.6515652173913042,230.81360869565216,612.0173365179584,18,5,20,12,51,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.6700000000000728,0.6749999999992724,1.3609999999989668,0.6520000000000437,0.6633333333332606,1.3264166666666977,0.2811150030280822,0.6450000000004366,1.643000000000029,1.0999642857142848,0.4471227228130955,0.4862721721894196,0.5863821416705826,0.6450000000004366
2025-12-20 19:00:00,0.6430000000000291,2.6229130434782606,231.7982608695652,607.9866818903591,19,5,20,12,51,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.6450000000004366,0.6700000000000728,1.3590000000003783,1.1279999999987922,0.6526666666668461,1.2965833333333496,0.3136202240409199,0.6430000000000291,1.643000000000029,1.0970773809523875,0.4485042205961089,0.495918378364915,0.5861021520101716,0.6430000000000291
2025-12-20 20:00:00,0.6199999999989814,2.593,232.25726086956524,602.2430774347827,20,5,20,12,51,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.6430000000000291,0.6450000000004366,1.3889999999992142,1.043999999999869,0.6359999999998157,1.2645416666666733,0.34178622598836467,0.6199999999989814,1.643000000000029,1.0945535714285728,0.4499951664268806,0.4902958329063721,0.5664404646264278,0.6199999999989814
2025-12-20 21:00:00,0.6190000000005966,2.578086956521739,231.04843478260867,595.6629560378071,21,5,20,12,51,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.6199999999989814,0.6430000000000291,1.504000000000815,1.143000000000029,0.6273333333332024,1.2276666666666642,0.36197281505734114,0.6190000000005966,1.643000000000029,1.0914345238095284,0.45147093778367364,0.5042081149545069,0.5671429841682717,0.6190000000005966
2025-12-20 22:00:00,0.6280000000006112,2.5867391304347827,232.20278260869563,600.6480239697541,22,5,20,12,51,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.6190000000005966,0.6199999999989814,1.5239999999994325,1.2120000000013533,0.6223333333333964,1.19033333333338,0.3760142997588404,0.6190000000005966,1.643000000000029,1.0879583333333336,0.4527834653749908,0.5275828667748976,0.5772274576445054,0.6280000000006112
2025-12-20 23:00:00,0.75,3.070863636363636,231.89459090909088,712.1166666921487,23,5,20,12,51,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.6280000000006112,0.6190000000005966,1.2520000000004075,0.7819999999992433,0.6656666666670693,1.1694166666666963,0.38625773290877397,0.6190000000005966,1.643000000000029,1.087767857142862,0.4529196565044312,0.6413448516968255,0.6894847145835311,0.75
2025-12-21 00:00:00,0.8130000000001019,3.127217391304348,231.63604347826086,724.3762636181474,0,6,21,12,51,0.0,1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.75,0.6280000000006112,1.5560000000004948,0.1569999999992433,0.730333333333571,1.1384583333333467,0.38369314949701305,0.6190000000005966,1.643000000000029,1.091672619047629,0.4476442328968418,0.7141230048329283,0.7447280815573426,0.8130000000001019
2025-12-21 01:00:00,0.6049999999995634,2.5578695652173913,231.80278260869565,592.9212827674858,1,6,21,12,51,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.8130000000001019,0.75,1.4129999999986467,0.16000000000167347,0.7226666666665551,1.1047916666667181,0.39386998286969765,0.6049999999995634,1.643000000000029,1.0943214285714258,0.4433947204252324,0.5476140621252633,0.5528535139221772,0.6049999999995634
2025-12-21 02:00:00,0.6630000000004657,2.7610434782608695,232.04821739130438,640.6952172703215,2,6,21,12,51,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.6049999999995634,0.8130000000001019,1.4440000000013242,0.16199999999844295,0.6936666666667103,1.0722500000000157,0.3968777327874815,0.6049999999995634,1.643000000000029,1.0973035714285808,0.43874708329623135,0.6183253734437701,0.604207817285684,0.6630000000004657
2025-12-21 03:00:00,0.9099999999998545,3.374625,231.60845833333335,781.5916937031251,3,6,21,12,51,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.6630000000004657,0.6049999999995634,1.5139999999992142,0.15500000000065484,0.7259999999999612,1.0470833333333758,0.38666668228380247,0.6049999999995634,1.643000000000029,1.1017976190476237,0.4328646198940157,0.8690799499433675,0.8259222550001408,0.9099999999998545
2025-12-21 04:00:00,0.9879999999993743,3.846909090909091,231.82222727272728,891.799033570248,4,6,21,12,51,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.9099999999998545,0.6630000000004657,1.243000000000393,0.15899999999965075,0.8536666666665648,1.0364583333333333,0.3845468229720859,0.6049999999995634,1.643000000000029,1.1067321428571457,0.42673442460188826,0.953245311441106,0.8927174598284375,0.9879999999993743
2025-12-21 05:00:00,1.0969999999997526,4.087478260869565,232.07108695652175,948.5855229111531,5,6,21,12,51,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0.9879999999993743,0.9099999999998545,1.4490000000005239,0.1540000000004511,0.9983333333329938,1.0217916666666345,0.3747153098096337,0.6049999999995634,1.643000000000029,1.1123452380952368,0.42028064458969366,1.0736033206995554,0.9862037218539411,1.0969999999997526
2025-12-21 06:00:00,1.0740000000005239,4.020739130434783,233.46304347826086,938.6939944234405,6,6,21,12,51,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.0969999999997526,0.9879999999993743,1.484999999998763,0.15899999999965075,1.0529999999998836,1.004666666666708,0.36179452091249964,0.6049999999995634,1.643000000000029,1.1177916666666707,0.41372994249797285,1.0690102166459157,0.9608221918321048,1.0740000000005239
2025-12-21 07:00:00,1.1989999999987049,4.362347826086957,232.63978260869567,1014.8556499243857,7,6,21,12,51,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.0740000000005239,1.0969999999997526,1.3170000000009168,0.6020000000007713,1.1233333333329938,0.9997499999999491,0.35814889422518337,0.6049999999995634,1.643000000000029,1.1213452380952298,0.41183272268508814,1.1992986253564797,1.0692504770296296,1.1989999999987049
2025-12-21 08:00:00,1.3560000000015862,4.882652173913043,231.2714347826087,1129.217973805293,8,6,21,12,51,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.1989999999987049,1.0740000000005239,1.532999999999447,1.363999999999578,1.2096666666669382,0.9923750000000382,0.34837995406067596,0.6049999999995634,1.643000000000029,1.1212976190476227,0.4118049587683195,1.3664175675364316,1.2093121109462417,1.3560000000015862
2025-12-21 09:00:00,1.0979999999999563,3.944,231.25291304347826,912.0614890434782,9,6,21,12,51,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.3560000000015862,1.1989999999987049,1.1920000000009168,1.2700000000004366,1.217666666666749,0.9884583333333316,0.3465617429357497,0.6049999999995634,1.643000000000029,1.1202738095238103,0.4116468270352369,1.1108195987155347,0.9801166559004195,1.0979999999999563
2025-12-21 10:00:00,1.0019999999985885,3.8844166666666666,231.04916666666668,897.4912338194445,10,6,21,12,51,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.0979999999999563,1.3560000000015862,1.4249999999992724,1.2549999999991996,1.1520000000000437,0.970833333333303,0.3339210615734528,0.6049999999995634,1.643000000000029,1.1187678571428543,0.4116137799817399,1.032101941181128,0.8956273618104873,1.0019999999985885
2025-12-21 11:00:00,1.34900000000016,4.613318181818181,231.92377272727273,1069.938157518595,11,6,21,12,51,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.0019999999985885,1.0979999999999563,1.2690000000002328,1.4169999999994616,1.149666666666235,0.9741666666666333,0.33740797994054395,0.6049999999995634,1.643000000000029,1.1183630952380965,0.41135210707516906,1.3847718890282126,1.2062261348912153,1.34900000000016
2025-12-21 12:00:00,1.3700000000008004,5.053863636363636,231.9926818181818,1172.4593785433883,12,6,21,12,51,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.34900000000016,1.0019999999985885,1.4359999999996944,1.2780000000002474,1.240333333333183,0.9714166666666794,0.33372911648291637,0.6049999999995634,1.643000000000029,1.1189107142857189,0.4116270451703643,1.410309949068371,1.2244040191100949,1.3700000000008004
2025-12-21 13:00:00,1.3719999999993888,4.803304347826087,230.967,1109.4047953043478,13,6,21,12,51,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.3700000000008004,1.34900000000016,1.5979999999999563,1.4390000000003056,1.3636666666667832,0.9619999999999891,0.31810307325996445,0.6049999999995634,1.643000000000029,1.1185119047619039,0.4113474279052709,1.42619394366472,1.2266286729087355,1.3719999999993888
2025-12-21 14:00:00,1.3999999999996362,4.881043478260869,231.72617391304348,1131.0655299206048,14,6,21,12,51,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.3719999999993888,1.3700000000008004,1.643000000000029,1.4130000000004657,1.3806666666666085,0.9518749999999727,0.2987643120094193,0.6049999999995634,1.3999999999996362,1.118434523809518,0.4112929174574915,1.470779807453572,1.2517485095887138,1.3999999999996362
2025-12-21 15:00:00,1.4590000000007421,5.281,232.85926086956522,1229.7297566521738,15,6,21,12,51,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,1.3999999999996362,1.3719999999993888,1.2990000000008877,0.17000000000007276,1.4103333333332557,0.9585416666666333,0.3084742226094848,0.6049999999995634,1.4590000000007421,1.126107142857141,0.4054759757307584,1.522102302523963,1.2956126898247926,1.4590000000007421
